ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,pmc_GN,PMC_protein_name,new_gene_symbol,match_result,processing_time
EXD2_HUMAN,Q9NVH0,EXD2,Exonuclease 3'-5' domain-containing protein 2 ,8,5,7,20,bin_5,25,8,EXO2,0,3.35
EXOS6_HUMAN,Q5RKV6,EXOSC6,Exosome complex component MTR3,1,11,8,20,bin_5,7,4,MTR3,0,3.61
INAVA_HUMAN,Q3KP66,INAVA,Innate immunity activator protein ,0,18,2,20,bin_5,19,67770,IFI6,0,0.61
RS16_HUMAN,P62249,RPS16,Small ribosomal subunit protein uS9 ,2,6,12,20,bin_5,625,2,RPS27A,0,3.84
BMAL2_HUMAN,Q9NYQ4,BMAL2,Basic helix-loop-helix ARNT-like protein 2 ,5,8,7,20,bin_5,68,20,BMAL2,1,5.08
QFYFSNTFDL,P56715,RP1,Oxygen-regulated protein 1,1,12,7,20,bin_5,1122,346,EPAS1,0,6.75
RSSA_HUMAN,P08865,RPSA,Small ribosomal subunit protein uS2 ,7,4,9,20,bin_5,358,6,RPS2,0,2.91
SYSC_HUMAN,P49591,SARS1,"Serine--tRNA ligase, cytoplasmic",8,8,4,20,bin_5,37,62,SRL,0,0.76
ADHX_HUMAN,P11766,ADH5,Alcohol dehydrogenase class-3 ,9,8,3,20,bin_5,242,14,ADH3,0,0.43
SKAP_HUMAN,Q9Y448,KNSTRN,Small kinetochore-associated protein ,2,8,10,20,bin_5,38,41,SKA1,0,0.73
AEVYTLRPLF,Q9UPZ9,CILK1,Serine/threonine-protein kinase ICK,5,8,7,20,bin_5,56,42,STK39,0,3.92
SLF1_HUMAN,Q9BQI6,SLF1,SMC5-SMC6 complex localization factor protein 1 ,2,9,9,20,bin_5,41,4,SMC5,0,0.64
CLCN4_HUMAN,P51793,CLCN4,H(+)/Cl(-) exchange transporter 4,4,3,13,20,bin_5,61,1834,SLC4A4,0,4.0
SMN_HUMAN,Q16637,SMN2,Survival motor neuron protein,2,4,14,20,bin_5,1339,8014,SMN1,0,0.93
HEN2_HUMAN,Q02577,NHLH2,Helix-loop-helix protein 2,6,11,3,20,bin_5,69,13784,TWIST2,0,0.98
BARX2_HUMAN,Q9UMQ3,BARX2,Homeobox protein BarH-like 2,6,7,7,20,bin_5,63,19,BARHL2,0,0.8
TYB4_HUMAN,P62328,TMSB4X,Hemoregulatory peptide AcSDKP ,4,10,6,20,bin_5,83,22,PAPPA,0,0.74
ATF6B_HUMAN,Q9H3W1,ATF6B,Processed cyclic AMP-dependent transcription factor ATF-6 beta,4,7,9,20,bin_5,49,0,ATF6B,1,0.52
HYES_HUMAN,P34913,EPHX2,Lipid-phosphate phosphatase,8,8,4,20,bin_5,438,239,PPM1B,0,0.8
COIA1_HUMAN,Q9UK38,COL18A1,Non-collagenous domain 1 ,2,11,7,20,bin_5,2207,191,COL1A1,0,2.16
PRAF3_HUMAN,O75915,ARL6IP5,PRA1 family protein 3,0,15,5,20,bin_5,108,7,PRA1F3,0,0.54
GFRAL_HUMAN,Q6UXV0,GFRAL,GDNF family receptor alpha-like ,4,10,6,20,bin_5,133,45,GFRAL,1,0.71
UB2R1_HUMAN,P49427,CDC34,Ubiquitin-conjugating enzyme E2 R1,3,13,4,20,bin_5,257,6,UBE2R1,0,0.63
HBA_HUMAN,P69905,HBA2,Hemopressin ,5,6,9,20,bin_5,1123,91,HPN,0,0.56
